,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
2014-10-01,760.0,3.9,4.3,1.0,13.0,-8.0,5.0,21.0,-15.0,1.0,-10.0,99.84,100.06,-0.1,-0.1,0.2,9.5,100.1835,100.0063,98.65335,100.9111,99.56596,100.4468,100.2229,108.6,112.5,101.3,108.6,3.23,778504.0,727991.0,271181.0,0.0826,0.2314,0.5584,411.320007
2014-11-01,699.0,1.6,-0.1,-2.0,7.0,-8.0,-2.0,15.0,-15.0,0.0,-10.0,99.25,99.47,-0.6,-0.6,-0.6,9.2,100.2031,100.0247,98.78213,100.8628,99.54852,100.3159,100.216,108.8,112.7,101.4,108.8,3.16,779063.0,728380.0,275475.0,0.0809,0.2329,0.5563,425.859985
2014-12-01,762.0,1.6,-2.0,-4.0,4.0,-9.0,-6.0,15.0,-17.0,-1.0,-8.0,99.05,99.27,-0.2,-0.2,0.3,9.7,100.2319,100.0641,98.95369,100.7913,99.59303,100.1588,100.206,110.7,113.5,102.1,110.3,3.13,878001.0,825495.0,387413.0,0.0809,0.2446,0.558,424.470001
2015-01-01,671.0,4.7,11.1,-2.0,6.0,-8.0,-8.0,19.0,-16.0,0.0,-7.0,98.15,98.16,-0.9,-1.1,-1.0,6.4,100.2414,100.1269,99.15205,100.6984,99.68111,99.98159,100.19,110.4,113.3,103.3,109.0,3.12,882566.0,830912.0,385363.0,0.0627,0.2543,0.5625,450.390015
2015-02-01,679.0,2.4,1.2,-1.0,6.0,-6.0,-6.0,18.0,-15.0,0.0,-5.0,98.69,98.7,0.6,0.6,-0.9,8.2,100.2736,100.2093,99.34762,100.5908,99.78987,99.81209,100.1762,110.5,112.3,104.0,109.7,3.15,886121.0,834263.0,385431.0,0.0482,0.2584,0.5636,483.929993
2015-03-01,862.0,4.3,15.5,7.0,22.0,-4.0,9.0,35.0,-12.0,3.0,-2.0,99.75,99.75,1.1,1.1,-1.2,6.6,100.3744,100.2933,99.51716,100.479,99.90057,99.67342,100.1713,112.0,112.8,104.8,109.0,2.99,889051.0,836848.0,385305.0,0.0272,0.2683,0.5644,489.410004
2015-04-01,624.0,4.6,5.9,10.0,30.0,-4.0,17.0,43.0,-12.0,3.0,-2.0,100.39,100.39,0.6,0.6,0.2,9.5,100.4817,100.3775,99.64304,100.3679,99.9903,99.56347,100.159,111.1,112.8,103.7,110.2,2.96,887528.0,834827.0,384341.0,0.0047,0.276,0.5695,487.850006
2015-05-01,516.0,5.2,15.0,11.0,31.0,-3.0,21.0,42.0,-11.0,3.0,-1.0,100.61,100.62,0.2,0.2,1.4,9.8,100.527,100.4415,99.73341,100.2509,100.0402,99.47229,100.1193,109.8,112.0,104.3,110.8,2.9,902287.0,849095.0,403265.0,-0.0104,0.2795,0.5679,493.559998
2015-06-01,650.0,4.7,5.3,14.0,38.0,-1.0,29.0,47.0,-10.0,5.0,1.0,100.23,100.23,-0.4,-0.4,1.2,12.3,100.4684,100.4652,99.81449,100.1236,100.0463,99.37376,100.042,110.7,112.6,103.9,110.2,2.9,884564.0,830858.0,386438.0,-0.0139,0.2827,0.5719,472.579987
2015-07-01,583.0,5.8,8.9,13.0,34.0,0.0,27.0,41.0,-9.0,5.0,2.0,101.0,101.0,0.8,0.8,0.9,11.5,100.304,100.4331,99.89716,99.96454,100.0124,99.24694,99.92787,111.4,113.3,105.0,111.1,2.9,888086.0,833737.0,390953.0,-0.0187,0.2907,0.5808,495.230011
